name,model_type,test_MeanSquaredError,test_MeanAbsolutePercentageError,test_MeanSquaredErrorHighChangeIntervals,Mean test time per sample (ms)
lstm_2025-02-06_15-18-15,lstm,0.7150363678422749,3.663843096508435,1.176333247195394,0.824051912245162
tft_2025-02-06_15-18-12,tft,0.3002949825425291,1.3061732522398413,0.6180056996042147,2.377247156294258
transformer_2025-02-06_15-17-55,transformer,0.6059283260371559,1.3730769799591966,1.3807677375427665,0.8354770291186965
tcn_2025-02-06_15-17-52,tcn,0.9637582345773966,1.6458401376175738,1.8909777159231305,0.8393067566444502
deepar_2025-02-06_15-17-48,deepar,1.0154731690750234,4.739509776680623,1.9189151122710737,0.7961430129549845
nhits_2025-02-06_15-17-41,nhits,0.6723219167794101,1.986913125921504,1.4138508830761225,0.8546836505098568
lstm_2025-02-06_15-17-37,lstm,0.5690480543955903,2.7224770529440163,1.0724518017037854,0.8239694104036864
tcn_2025-02-06_15-17-16,tcn,0.9725185375889088,1.5885854733498286,1.8791922636157965,0.8385581676574314
tft_2025-02-06_15-17-16,tft,0.2976565538187145,0.6681772289327002,0.7182704622763322,2.42598866353102
transformer_2025-02-06_15-17-11,transformer,0.611024220267251,1.1742606074996818,1.3914307037749605,0.8739267468757337
deepar_2025-02-06_15-17-10,deepar,1.166073454803847,3.947310890868059,1.9590630110759149,0.8880159048282582
lstm_2025-02-06_15-16-59,lstm,0.5206285958872798,2.2674670621632735,1.1527811112047082,0.792037707079402
tcn_2025-02-06_15-16-40,tcn,1.0142183914520757,1.4158172166908087,1.943126608125355,0.8001725594310657
deepar_2025-02-06_15-16-29,deepar,1.3824484861967865,6.836430397323742,1.9945089606935769,0.9644923972256502
transformer_2025-02-06_15-16-27,transformer,0.6068574031255584,1.379414213435729,1.386052658309343,0.8944534808587845
nhits_2025-02-06_15-16-24,nhits,0.7017765270816879,2.73737506917132,1.5352979414295638,0.8630138154968124
lstm_2025-02-06_15-16-21,lstm,0.5735548251284189,2.215548492575617,1.0550278861064195,0.8235962568398785
tft_2025-02-06_15-16-18,tft,0.2927628442522141,1.0256666601870332,0.6160692230725076,2.3686299224376985
tcn_2025-02-06_15-16-05,tcn,,,,0.8039255328762257
deepar_2025-02-06_15-15-52,deepar,1.2671647637867802,4.136901636535198,2.195256095429891,0.818608462086419
transformer_2025-02-06_15-15-44,transformer,0.6038869064377413,1.3712214737626995,1.3677551679627875,0.8723007269737209
lstm_2025-02-06_15-15-43,lstm,0.6471588018694385,3.4682506454717954,1.056530682816132,0.8193472893360783
tcn_2025-02-06_15-15-29,tcn,,,,0.8359182013860902
tft_2025-02-06_15-15-22,tft,0.2989177695216076,1.25774489573121,0.7757965699966116,2.3798104061190126
deepar_2025-02-06_15-15-13,deepar,1.1710096112326396,4.847032192996495,2.3298023802458045,0.8447771072578247
nhits_2025-02-06_15-15-09,nhits,0.6998754129626025,1.825038345851928,1.5020909344320723,0.8438262007082514
lstm_2025-02-06_15-15-05,lstm,0.926908534532485,3.193790590967042,1.407184494249181,0.8199145450540212
transformer_2025-02-06_15-14-59,transformer,0.6063193512315093,1.3579497552577964,1.3809899841848263,0.8487250520121259
tcn_2025-02-06_15-14-54,tcn,,,,0.820042200319831
deepar_2025-02-06_15-14-33,deepar,1.4066731177206115,6.3866188656847305,2.163879811930886,0.9467607709433876
lstm_2025-02-06_15-14-27,lstm,0.4836117710545731,2.9066906235071253,1.045598431944355,0.8261829090621465
tft_2025-02-06_15-14-23,tft,0.2812358612046375,1.1697045393383596,0.6292568037895342,2.410812343916167
tcn_2025-02-06_15-14-19,tcn,1.0154681623906825,1.6783839348598135,1.8996344984577496,0.8362645835942014
transformer_2025-02-06_15-14-15,transformer,0.596519959186029,1.3975718263620065,1.355891370582275,0.8731763281137742
deepar_2025-02-06_15-13-54,deepar,1.4339238274042014,5.74520570893934,2.0422730270257214,0.8374946249072509
nhits_2025-02-06_15-13-54,nhits,0.6828618088330548,1.7839017210260542,1.401303039714592,0.8521539294887381
lstm_2025-02-06_15-13-48,lstm,0.835968403149335,4.155899098545381,1.267071264916601,0.8125541314882847
tcn_2025-02-06_15-13-42,tcn,0.9704536375097332,1.4626279248316456,1.8675086494470152,0.8327915461833977
transformer_2025-02-06_15-13-33,transformer,0.6069919653169781,1.394992875093025,1.38012817385181,0.8817046909304836
tft_2025-02-06_15-13-28,tft,0.3118891045812111,1.5154228033943948,0.7037384581934806,2.4022347932143133
deepar_2025-02-06_15-13-16,deepar,0.8906293168055057,3.8073461012928966,1.8644256188909072,0.8265208410065802
lstm_2025-02-06_15-13-10,lstm,0.6765901703797615,3.421942097820444,1.0849797909407626,0.8173251217302611
tcn_2025-02-06_15-13-07,tcn,,,,0.7995311616231566
transformer_2025-02-06_15-12-47,transformer,0.594746083471026,1.3332654857424169,1.3497926657458854,0.8850003073415946
nhits_2025-02-06_15-12-38,nhits,0.6932253715254204,1.863645866758244,1.4380251148118264,0.8542793662384952
deepar_2025-02-06_15-12-36,deepar,1.229171697340483,5.351730078548764,1.8176898974258855,0.94546391950239
lstm_2025-02-06_15-12-31,lstm,0.4712088817573585,3.2360695561247748,0.9846949071955352,0.8211179927010518
tcn_2025-02-06_15-12-32,tcn,,,,0.8447797587879783
tft_2025-02-06_15-12-30,tft,0.2605147253314676,0.8187053093797735,0.5853608261802173,2.4614161156746737
transformer_2025-02-06_15-12-04,transformer,0.6079214051561694,1.283633689030805,1.3828357465387415,0.8530216948950992
deepar_2025-02-06_15-11-58,deepar,1.1548266005471983,4.341133109992428,1.88561990627622,0.8700183866655126
tcn_2025-02-06_15-11-56,tcn,1.011057694543019,1.1814553572417292,1.945317750846343,0.8298460246466309
lstm_2025-02-06_15-11-53,lstm,0.5126342316260559,2.611010658926016,0.895072199297229,0.8168169580723929
tft_2025-02-06_15-11-34,tft,0.2659291866186667,0.8629090458812203,0.5593358393961954,2.358499307976202
nhits_2025-02-06_15-11-21,nhits,0.7027801986798061,1.98659158809477,1.482856590626925,0.8465481538544682
tcn_2025-02-06_15-11-20,tcn,0.9870159118805492,1.4687697283722687,1.907811470238887,0.8360468315632295
deepar_2025-02-06_15-11-20,deepar,1.480097724931153,6.140795383043646,2.706739788087987,0.7991951573497194
transformer_2025-02-06_15-11-19,transformer,0.6028783002892447,1.4340917638050532,1.3717901089450923,0.8605061501474179
lstm_2025-02-06_15-11-14,lstm,0.6597240311852836,2.4930563502214262,1.0194428813295082,0.7890351514434418
tcn_2025-02-06_15-10-44,tcn,1.0285401863163068,1.0420925540110069,1.9854745881165112,0.8355085997630264
deepar_2025-02-06_15-10-40,deepar,1.2768986072798167,5.249616886529927,2.0952323933155563,0.92645604925616
tft_2025-02-06_15-10-37,tft,0.2786405533171794,1.4712367542482576,0.5804735698571548,2.3679826165670934
lstm_2025-02-06_15-10-36,lstm,0.9403092866314404,4.161405646140757,1.5058525885744805,0.8166749992638903
transformer_2025-02-06_15-10-35,transformer,0.6010057784311333,1.240497157804882,1.3690985947055525,0.9107883266933128
tcn_2025-02-06_15-10-08,tcn,1.0078702961437422,1.47023037384879,1.904526686076346,0.8367588033761515
nhits_2025-02-06_15-10-06,nhits,0.6600990396799882,2.214593172360715,1.3939677741353829,0.852379951235431
deepar_2025-02-06_15-10-01,deepar,1.7894658839101172,6.163816697286676,2.914967414371473,0.8504245454050086
lstm_2025-02-06_15-09-58,lstm,0.5796138618464185,2.6184048459691605,1.018269088992958,0.8213668449512681
transformer_2025-02-06_15-09-51,transformer,0.6103137631034135,1.361532605199094,1.3893318182349053,0.8670034994611807
tft_2025-02-06_15-09-41,tft,0.2780380989711407,1.5954445072556631,0.6216598702424234,2.4963959101158792
tcn_2025-02-06_15-09-32,tcn,,,,0.8042842073513724
deepar_2025-02-06_15-09-23,deepar,1.521432955396058,5.685480093007757,2.072252576412866,0.8282152588105263
