name,model_type,test_MeanSquaredError,test_MeanAbsolutePercentageError,test_MeanSquaredErrorHighChangeIntervals,Mean test time per sample (ms)
transformer_2025-02-06_15-33-25,transformer,0.6290376112979901,0.9807869710899,1.4131772345885394,0.8978975284130067
tft_2025-02-06_15-33-10,tft,0.4694545771288181,0.8928027220360625,1.1480531871709712,0.916456352309574
lstm_2025-02-06_15-33-08,lstm,0.7082755139827225,2.954088783201808,1.6669316422380545,0.8099113105107909
nhits_2025-02-06_15-33-03,nhits,0.4755223223255297,1.0766815153501748,1.2399752336913497,0.8176875998601889
tcn_2025-02-06_15-33-01,tcn,1.0218052529564512,0.9051268084395772,2.00483505217867,0.8113110461808226
deepar_2025-02-06_15-32-52,deepar,1.1870571875955809,5.077791141753368,1.839873753651034,0.8889008913656025
transformer_2025-02-06_15-32-36,transformer,0.6368650382381217,1.0852281278516904,1.4195839881929118,0.8825210316101914
lstm_2025-02-06_15-32-32,lstm,0.8873701299567687,4.587431908631019,1.6492278459523184,0.8143798221864968
tcn_2025-02-06_15-32-27,tcn,1.0165604150893948,0.9578495870717412,1.9822845611812352,0.8254671107282113
tft_2025-02-06_15-32-26,tft,0.5293095717371906,1.7676426003213903,1.5679857911570154,0.965093355864058
nhits_2025-02-06_15-32-24,nhits,0.4789325059680219,1.7538912787096197,1.1987887681782745,0.8170974157426668
deepar_2025-02-06_15-32-14,deepar,1.927003418156228,8.31189964940646,2.4564081749024425,0.8214282517409538
lstm_2025-02-06_15-31-55,lstm,0.9868485348319658,5.286998521213881,1.6590149112763397,0.7831433804615227
tcn_2025-02-06_15-31-53,tcn,1.0011232328912607,1.0729137099029635,1.95718937036658,0.8154924487328286
transformer_2025-02-06_15-31-49,transformer,0.6380382307398802,1.0218812720704538,1.421493626181617,0.9097347776774708
nhits_2025-02-06_15-31-45,nhits,0.4701299257932912,1.1873661895127992,1.177494366103228,0.8327880083485638
tft_2025-02-06_15-31-43,tft,0.4745568819013196,1.504783600728003,1.1133367149969744,0.9870117199142722
deepar_2025-02-06_15-31-35,deepar,1.7734187112658872,7.979195565178417,3.335903984487098,0.9561286815215864
tcn_2025-02-06_15-31-20,tcn,1.0412201708756723,0.9130177217151662,2.033196715121557,0.8181089320984642
lstm_2025-02-06_15-31-18,lstm,0.5291895570158528,1.473704501778065,1.158751479257876,0.8204477479505111
nhits_2025-02-06_15-31-07,nhits,0.4734827201815116,1.2216733975379306,1.1966139315066362,0.823750111091015
tft_2025-02-06_15-31-02,tft,0.5485096681606448,0.9826571432155212,1.3366708333164925,0.952151359852089
